Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS, Group
137,Buffalo Sabres,Aaron Goldade,CA,C,,1998,,Brandon (WHL),,,,,,,,,,,,,,
138,Nashville Predators,Martin Beauchesne,CA,D,,1998,,Sherbrooke (QMJHL),,,,,,,,,,,,,,
139,Philadelphia Flyers,Garrett Prosofsky,CA,C,,1998,,Saskatoon (WHL),,,,,,,,,,,,,,
140,Vancouver Canucks,Rick Bertran,CA,D,,1998,,Kitchener (OHL),,,,,,,,,,,,,,
141,Colorado Avalanche,K.C. Timmons,CA,LW,,1998,,Tri-City (WHL),,,,,,,,,,,,,,
142,Detroit Red Wings,Calle Steen,SE,RW,,1998,,Hammarby (Sweden-3),,,,,,,,,,,,,,
143,New Jersey Devils,Ryan Flinn\flinnry01,CA,LW,18,1998,2006,Laval (QMJHL),31,1,0,1,0,84,,,,,,,0,
144,Edmonton Oilers,Oleg Smirnov,RU,LW,,1998,,Kristall Elektrostal (Russia),,,,,,,,,,,,,,
145,San Jose Sharks,Mikael Samuelsson\samuemi01,SE,RW,21,1998,2014,Sodertalje (Sweden-2),699,149,197,346,50,370,,,,,,,35.7,
146,Tampa Bay Lightning,Sergei Kuznetsov,RU,C,,1998,,Torpedo Yaroslavl 2 (Russia-2),,,,,,,,,,,,,,
147,Nashville Predators,Craig Brunel,CA,RW,,1998,,Prince Albert (WHL),,,,,,,,,,,,,,
148,Florida Panthers,Chris Ovington,CA,D,,1998,,Red Deer (WHL),,,,,,,,,,,,,,
149,Vancouver Canucks,Paul Cabana,CA,LW,,1998,,Fort McMurray (AJHL),,,,,,,,,,,,,,
150,Anaheim Ducks,Trent Hunter\huntetr01,CA,RW,18,1998,2012,Prince George (WHL),497,101,135,236,-5,209,,,,,,,21.9,
151,Detroit Red Wings,Adam DeLeeuw,CA,LW,,1998,,Barrie (OHL),,,,,,,,,,,,,,
152,Montreal Canadiens,Gordie Dwyer\dwyergo01,CA,LW,20,1998,2004,Beauport (QMJHL),108,0,5,5,-20,394,,,,,,,-1.3,
153,Dallas Stars,Pavel Patera\paterpa01,CZ,C,27,1998,2001,AIK Solna (Sweden),32,2,7,9,-9,8,,,,,,,0.1,
154,Toronto Maple Leafs,Allan Rourke\rourkal01,CA,D,18,1998,2008,Kitchener (OHL),55,1,4,5,4,31,,,,,,,1.7,
155,New York Islanders,Kevin Clauson,US,D,,1998,,Western Michigan (CCHA),,,,,,,,,,,,,,
156,Chicago Blackhawks,Kent Huskins\huskike01,CA,D,19,1998,2013,Clarkson (ECAC),318,13,55,68,46,173,,,,,,,18,
157,St. Louis Blues,Brad Voth,CA,D,,1998,,Medicine Hat (WHL),,,,,,,,,,,,,,
158,Chicago Blackhawks,Jari Viuhkola,FI,C,,1998,,Karpat Oulu (Finland),,,,,,,,,,,,,,
159,Edmonton Oilers,Trevor Ettinger,CA,D,,1998,,Cape Breton (QMJHL),,,,,,,,,,,,,,
160,Phoenix Coyotes,Rickard Wallin\walliri01,SE,C,18,1998,2010,Farjestad Jr. (Sweden-Jr.),79,8,11,19,-5,34,,,,,,,1,
161,Ottawa Senators,Chris Neil\neilch01,CA,RW,19,1998,2017,North Bay (OHL),1026,112,138,250,-19,2522,,,,,,,17.8,
162,Montreal Canadiens,Andrei Markov\markoan01,RU,D,19,1998,2017,Khimik Voskresensk (Russia-2),990,119,453,572,64,505,,,,,,,104,
163,Los Angeles Kings,Tomas Zizka\zizkato01,CZ,D,18,1998,2004,ZPS Zlin (Czech),25,2,6,8,-8,16,,,,,,,0.8,
164,Buffalo Sabres,Ales Kotalik\kotalal01,CZ,RW,19,1998,2011,Ceske Budejovice Jr. (Czech-Jr.),542,136,148,284,-46,348,,,,,,,27.9,
165,Boston Bruins,Ryan Milanovic,CA,LW,,1998,,Kitchener (OHL),,,,,,,,,,,,,,
166,Chicago Blackhawks,Jonathan Pelletier,CA,G,,1998,,Drummondville (QMJHL),,,,,,,,,,,,,,
167,Colorado Avalanche,Alexander Ryazantsev,RU,D,,1998,,Victoriaville (QMJHL),,,,,,,,,,,,,,
168,Philadelphia Flyers,Antero Niittymaki\niittan01,FI,G,18,1998,2011,TPS Turku Jr. (Finland-Jr.),234,0,3,3,0,6,234,95,86,31,0.902,2.95,36.1,
169,Pittsburgh Penguins,Jan Fadrny,CZ,C,,1998,,Slavia Praha (Czech-2),,,,,,,,,,,,,,
170,St. Louis Blues,Andrei Troschinsky,KZ,C,,1998,,Torpedo Ust-Kamenogorsk (Russia-2),,,,,,,,,,,,,,
171,Detroit Red Wings,Pavel Datsyuk\datsypa01,RU,C,20,1998,2016,Yekaterinburg (Russia),953,314,604,918,249,228,,,,,,,111.2,
172,New Jersey Devils,Jacques Lariviere,CA,LW,,1998,,Moncton (QMJHL),,,,,,,,,,,,,,
173,Dallas Stars,Niko Kapanen\kapanni01,FI,C,20,1998,2008,HPK Hameenlinna (Finland),397,36,90,126,-25,160,,,,,,,7.1,
174,Tampa Bay Lightning,Brett Allan,CA,C,,1998,,Swift Current (WHL),,,,,,,,,,,,,,
175,Philadelphia Flyers,Cam Ondrik,CA,G,,1998,,Medicine Hat (WHL),,,,,,,,,,,,,,
176,Florida Panthers,B.J. Ketcheson,CA,D,,1998,,Peterborough (OHL),,,,,,,,,,,,,,
177,Vancouver Canucks,Vincent Malts,US,RW,,1998,,Hull (QMJHL),,,,,,,,,,,,,,
178,Anaheim Ducks,Jesse Fibiger\fibigje01,CA,D,20,1998,2003,Minnesota-Duluth (WCHA),16,0,0,0,-5,2,,,,,,,-0.3,
179,Washington Capitals,Nate Forster,CA,D,,1998,,Seattle (WHL),,,,,,,,,,,,,,
180,New York Rangers,Stefan Lundqvist,SE,RW,,1998,,Brynas Gavle (Sweden),,,,,,,,,,,,,,
181,Toronto Maple Leafs,Jonathan Gagnon,CA,C,,1998,,Cape Breton (QMJHL),,,,,,,,,,,,,,
182,New York Islanders,Evgeny Korolev\korolev01,RU,D,20,1998,2002,London (OHL),42,1,4,5,-10,20,,,,,,,0.4,
183,Chicago Blackhawks,Tyler Arnason\arnasty01,US,C,19,1998,2009,St. Cloud State (WCHA),487,88,157,245,-33,140,,,,,,,21.5,
184,Carolina Hurricanes,Don Smith,US,C,,1998,,Clarkson (ECAC),,,,,,,,,,,,,,
185,San Jose Sharks,Robert Mulick,CA,D,,1998,,Sault Ste. Marie (OHL),,,,,,,,,,,,,,
186,Edmonton Oilers,Mike Morrison\morrimi01,US,G,19,1998,2007,U. of Maine (H-East),29,0,1,1,0,2,29,11,7,3,0.871,3.28,1.4,
187,Phoenix Coyotes,Erik Westrum\westrer01,US,C,19,1998,2007,Minnesota (WCHA),27,1,2,3,-4,22,,,,,,,-0.3,
188,Ottawa Senators,Michel Periard,CA,D,,1998,,Shawinigan (QMJHL),,,,,,,,,,,,,,
189,Montreal Canadiens,Andrei Kruchinin,KZ,D,,1998,,Lada Togliatti (KHL),,,,,,,,,,,,,,
190,Los Angeles Kings,Tommi Hannus,FI,C,,1998,,TPS Turku Jr. (Finland-Jr.),,,,,,,,,,,,,,
191,Buffalo Sabres,Brad Moran\moranbr01,CA,C,19,1998,2007,Calgary (WHL),8,1,2,3,-1,4,,,,,,,0.3,
192,Calgary Flames,Radek Duda,CZ,RW,,1998,,Sparta Praha (Czech),,,,,,,,,,,,,,
193,Washington Capitals,Rastislav Stana\stanara01,SK,G,18,1998,2004,Kosice (Slovakia),6,0,0,0,0,0,6,1,2,0,0.89,3.12,0.4,
194,Tampa Bay Lightning,Oak Hewer,CA,C,,1998,,North Bay (OHL),,,,,,,,,,,,,,
195,Philadelphia Flyers,Tomas Divisek\divisto01,CZ,C,19,1998,2002,Slavia Praha (Czech-2),5,1,0,1,0,0,,,,,,,0.1,
196,Pittsburgh Penguins,Joel Scherban,CA,C,,1998,,London (OHL),,,,,,,,,,,,,,
197,St. Louis Blues,Brad Twordik,CA,C,,1998,,Brandon (WHL),,,,,,,,,,,,,,
198,Detroit Red Wings,Jeremy Goetzinger,CA,D,,1998,,Prince Albert (WHL),,,,,,,,,,,,,,
199,New Jersey Devils,Erik Jensen,US,RW,,1998,,Des Moines (USHL),,,,,,,,,,,,,,
200,Dallas Stars,Scott Perry,US,C,,1998,,Boston University (H-East),,,,,,,,,,,,,,
201,Montreal Canadiens,Craig Murray,CA,C,,1998,,Michigan (CCHA),,,,,,,,,,,,,,
