Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
73,New Jersey Devils,Joseph Anderson\anderjo08,US,RW,18,2016,2022,USA U-18 (USHL),58,8,5,13,-5,10,,,,,,,0.9
74,Carolina Hurricanes,Hudson Elynuik\elynuhu01,CA,C,18,2016,,Spokane (WHL),,,,,,,,,,,,,
75,Carolina Hurricanes,Jack LaFontaine\lafonja01,CA,G,18,2016,2022,Janesville (NAHL),2,0,0,0,0,0,2,0,1,0,0.78,7.2,-0.3
76,Nashville Predators,Rem Pitlick\pitlire01,CA,C,19,2016,2022,Muskegon (USHL),77,15,24,39,-5,30,,,,,,,3.2
77,Pittsburgh Penguins,Connor Hall\hallco01,CA,D,18,2016,,Kitchener (OHL),,,,,,,,,,,,,
78,Nashville Predators,Frederic Allard\allarfr01,CA,D,18,2016,2021,Chicoutimi (QMJHL),1,0,0,0,-2,0,,,,,,,-0.1
79,Winnipeg Jets,Luke Green\greenlu01,CA,D,18,2016,,Saint John (QMJHL),,,,,,,,,,,,,
80,New Jersey Devils,Brandon Gignac\gignabr01,CA,C,18,2016,2019,Shawinigan (QMJHL),1,0,0,0,-2,0,,,,,,,-0.1
81,New York Rangers,Sean Day\dayse01,BE,D,18,2016,2022,Mississauga (OHL),2,0,0,0,-2,0,,,,,,,-0.1
82,Philadelphia Flyers,Carsen Twarynski\twaryca01,CA,LW,18,2016,2021,Calgary (WHL),22,1,0,1,-5,6,,,,,,,-0.4
83,Chicago Blackhawks,Wouter Peeters\peetewo01,BE,G,18,2016,,Ec Salzburg 2 (Austria-Jr.),,,,,,,,,,,,,
84,Edmonton Oilers,Matthew Cairns\cairnma01,CA,D,18,2016,,Georgetown (OJHL),,,,,,,,,,,,,
85,Anaheim Ducks,Joshua Mahura\mahurjo01,CA,D,18,2016,2022,Red Deer (WHL),79,6,14,20,-17,22,,,,,,,2.8
86,Buffalo Sabres,Casey Fitzgerald\fitzgca01,US,D,19,2016,2022,Boston College (H-East),36,0,6,6,-19,36,,,,,,,-0.1
87,Washington Capitals,Garrett Pilon\pilonga01,CA,C,18,2016,2022,Kamloops (WHL),3,1,0,1,1,0,,,,,,,0.2
88,Tampa Bay Lightning,Connor Ingram\ingraco01,CA,G,19,2016,2022,Kamloops (WHL),3,0,0,0,,0,3,1,2,0,0.879,3.71,0.2
89,Florida Panthers,Linus Nassen\nasseli01,SE,D,18,2016,,Lulea Jr. (Sweden-Jr.),,,,,,,,,,,,,
90,Dallas Stars,Fredrik Karlstrom\karlsfr01,SE,C,18,2016,2022,AIK Jr. (Sweden-Jr.),3,0,1,1,2,0,,,,,,,0.1
91,Edmonton Oilers,Filip Berglund\berglfi01,SE,D,19,2016,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,
92,Toronto Maple Leafs,Adam Brooks\brookad01,CA,C,20,2016,2022,Regina (WHL),43,6,5,11,7,2,,,,,,,1.3
93,Anaheim Ducks,Jack Kopacka\kopacja01,US,LW,18,2016,,Sault Ste. Marie (OHL),,,,,,,,,,,,,
94,Florida Panthers,Jonathan Ang\angjo01,CA,C,18,2016,,Peterborough (OHL),,,,,,,,,,,,,
95,New York Islanders,Anatoli Golyshev\golysan01,RU,LW,21,2016,,Yekaterinburg (Russia),,,,,,,,,,,,,
96,Calgary Flames,Linus Lindstrom\lindsli02,SE,C,18,2016,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,
97,Winnipeg Jets,Jacob Cederholm\cederja01,SE,D,18,2016,,HV 71 Jr. (Sweden-Jr.),,,,,,,,,,,,,
98,New York Rangers,Tarmo Reunanen\reunata01,FI,D,18,2016,2021,TPS Jr. (Finland-Jr.),4,0,1,1,1,0,,,,,,,0.2
99,Buffalo Sabres,Brett Murray\murrabr02,CA,LW,18,2016,2022,Carleton Place (CCHL),21,2,4,6,-2,23,,,,,,,0.3
100,Montreal Canadiens,Victor Mete\metevi01,CA,D,18,2016,2022,London (OHL),236,5,38,43,16,42,,,,,,,9.7
101,Toronto Maple Leafs,Keaton Middleton\middlke01,CA,D,18,2016,2021,Saginaw (OHL),3,0,0,0,-1,4,,,,,,,-0.1
102,New Jersey Devils,Mikhail Maltsev\maltsmi01,RU,LW,18,2016,2022,Team Russia U18 (Russia-Jr.),51,6,3,9,-9,6,,,,,,,0.3
103,Ottawa Senators,Todd Burgess\burgeto01,US,RW,20,2016,,Fairbanks (NAHL),,,,,,,,,,,,,
104,Carolina Hurricanes,Max Zimmer\zimmema01,US,LW,18,2016,,Chicago (USHL),,,,,,,,,,,,,
105,New Jersey Devils,Evan Cormier\cormiev01,CA,G,18,2016,,Saginaw (OHL),,,,,,,,,,,,,
106,Minnesota Wild,Brandon Duhaime\duhaibr01,US,RW,19,2016,2022,Tri-City (USHL),80,6,11,17,-2,122,,,,,,,0.4
107,Detroit Red Wings,Alfons Malmstrom\malmsal01,SE,D,18,2016,,Orebro Jr. (Sweden-Jr.),,,,,,,,,,,,,
108,Nashville Predators,Hardy Haman Aktell\hamanha01,SE,D,18,2016,,Skelleftea U18 (Sweden-Jr.),,,,,,,,,,,,,
109,Philadelphia Flyers,Connor Bunnaman\bunnaco01,CA,C,18,2016,2022,Kitchener (OHL),54,1,2,3,-6,8,,,,,,,-0.8
110,Chicago Blackhawks,Lucas Carlsson\carlslu01,SE,D,19,2016,2022,Brynas (Sweden),58,3,8,11,7,12,,,,,,,2.1
111,San Jose Sharks,Noah Gregor\gregono01,CA,C,18,2016,2022,Moose Jaw (WHL),121,16,18,34,-42,39,,,,,,,1.2
112,Los Angeles Kings,Jacob Moverare\moverja01,SE,D,18,2016,2022,HV 71 Jr. (Sweden-Jr.),19,0,2,2,3,2,,,,,,,0.7
113,Chicago Blackhawks,Nathan Noel\noelna01,CA,C,19,2016,,Saint John (QMJHL),,,,,,,,,,,,,
114,Florida Panthers,Riley Stillman\stillri01,CA,D,18,2016,2022,Oshawa (OHL),108,3,15,18,-6,68,,,,,,,3.3
115,Anaheim Ducks,Alex Dostie\dostial01,CA,C,19,2016,,Gatineau (QMJHL),,,,,,,,,,,,,
116,Dallas Stars,Rhett Gardner\gardnrh01,CA,C/LW,20,2016,2022,North Dakota (NCHC),40,1,1,2,-10,10,,,,,,,-0.7
117,Washington Capitals,Damien Riat\riatda01,CH,LW,19,2016,,Geneve (Swiss),,,,,,,,,,,,,
118,Tampa Bay Lightning,Ross Colton\coltoro01,US,C,20,2016,2022,Cedar Rapids (USHL),109,31,20,51,7,40,,,,,,,6
119,St. Louis Blues,Tanner Kaspick\kaspita01,CA,C,18,2016,,Brandon (WHL),,,,,,,,,,,,,
120,New York Islanders,Otto Koivula\koivuot01,FI,LW,18,2016,2022,Ilves Jr. (Finland-Jr.),20,0,2,2,-2,2,,,,,,,-0.1
121,Pittsburgh Penguins,Ryan Jones\jonesry02,US,D,20,2016,,Lincoln (USHL),,,,,,,,,,,,,
122,Toronto Maple Leafs,Vladimir Bobylev\bobylvl01,RU,RW,19,2016,,Victoria (WHL),,,,,,,,,,,,,
123,Edmonton Oilers,Dylan Wells\wellsdy01,CA,G,18,2016,,Peterborough (OHL),,,,,,,,,,,,,
124,Montreal Canadiens,Casey Staum\staumca01,US,D,18,2016,,Hill-Murray (High-MN),,,,,,,,,,,,,
125,St. Louis Blues,Nolan Stevens\steveno01,CA,C,20,2016,,Northeastern (H-East),,,,,,,,,,,,,
126,Calgary Flames,Mitchell Mattson\mattsmi01,US,C,18,2016,,Grand Rapids (High-MN),,,,,,,,,,,,,
127,Winnipeg Jets,Jordan Stallard\stalljo01,CA,C,18,2016,,Calgary (WHL),,,,,,,,,,,,,
128,Dallas Stars,Colton Point\pointco01,CA,G,18,2016,,Carleton Place (CCHL),,,,,,,,,,,,,
129,Buffalo Sabres,Philip Nyberg\nyberph01,SE,D,19,2016,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,
130,Buffalo Sabres,Vojtech Budik\budikvo01,CZ,D,18,2016,,Prince Albert (WHL),,,,,,,,,,,,,
131,Colorado Avalanche,Adam Werner\wernead01,SE,G,19,2016,2020,Farjestad Jr. (Sweden-Jr.),2,0,0,0,0,0,2,1,1,0,0.914,3.42,0.4
132,New Jersey Devils,Yegor Rykov\rykovye01,RU,D,19,2016,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,
133,Ottawa Senators,Maxime Lajoie\lajoima01,CA,D,18,2016,2022,Swift Current (WHL),67,7,8,15,-23,20,,,,,,,1.5
134,Carolina Hurricanes,Jeremy Helvig\helvije01,CA,G,19,2016,,Kingston (OHL),,,,,,,,,,,,,
135,Boston Bruins,Joona Koppanen\koppajo01,FI,LW,18,2016,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,,
136,Boston Bruins,Cameron Clarke\clarkca01,US,D,20,2016,,Lone Star (NAHL),,,,,,,,,,,,,
137,Detroit Red Wings,Jordan Sambrook\sambrjo01,CA,D,18,2016,,Erie (OHL),,,,,,,,,,,,,
138,Nashville Predators,Patrick Harper\harpepa01,US,C,18,2016,,Avon Old Farms (HIGH-CT),,,,,,,,,,,,,
139,Philadelphia Flyers,Linus Hogberg\hogbeli01,SE,D,18,2016,2022,Vaxjo Jr. (Sweden-Jr.),5,0,2,2,0,2,,,,,,,0.3
140,Vancouver Canucks,Cole Candella\candeco01,CA,D,18,2016,,Hamilton (OHL),,,,,,,,,,,,,
141,New York Rangers,Timothy Gettinger\gettiti01,US,LW,18,2016,2022,Sault Ste. Marie (OHL),16,0,1,1,-1,0,,,,,,,-0.2
142,Los Angeles Kings,Michael Eyssimont\eyssimi01,US,C,20,2016,2022,St. Cloud State (NCHC),1,0,0,0,0,0,,,,,,,0
143,Chicago Blackhawks,Mathias From\fromma01,DK,W,18,2016,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,,
144,St. Louis Blues,Conner Bleackley\bleacco01,CA,C,20,2016,,Red Deer (WHL),,,,,,,,,,,,,
145,Washington Capitals,Beck Malenstyn\malenbe01,CA,LW,18,2016,2022,Calgary (WHL),15,1,0,1,1,9,,,,,,,0
146,Dallas Stars,Nicholas Caamano\caamani01,CA,RW,18,2016,2021,Flint (OHL),36,1,2,3,-5,21,,,,,,,-0.3
147,Washington Capitals,Axel Jonsson-Fjallby\jonssax01,SE,LW,18,2016,2022,Djurgarden Jr. (Sweden-Jr.),23,2,2,4,0,4,,,,,,,0.2
148,Tampa Bay Lightning,Christopher Paquette\paquech01,CA,C,18,2016,,Niagara (OHL),,,,,,,,,,,,,
149,Edmonton Oilers,Graham McPhee\mcphegr01,US,LW,18,2016,,USA U-18 (USHL),,,,,,,,,,,,,
150,San Jose Sharks,Manuel Wiederer\wiedema01,DE,C,19,2016,,Moncton (QMJHL),,,,,,,,,,,,,
151,Pittsburgh Penguins,Niclas Almari\almarni01,FI,D,18,2016,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,,
152,Toronto Maple Leafs,Jonathan Walker\walkejo01,US,D,20,2016,,Victoria (WHL),,,,,,,,,,,,,
153,Edmonton Oilers,Aapeli Rasanen\rasanaa01,FI,C,18,2016,,Tappara Jr. (Finland-Jr.),,,,,,,,,,,,,
154,Vancouver Canucks,Jakob Stukel\stukeja01,CA,LW,19,2016,,Calgary (WHL),,,,,,,,,,,,,
155,Columbus Blue Jackets,Peter Thome\thomepe01,US,G,19,2016,,Aberdeen (NAHL),,,,,,,,,,,,,
156,Calgary Flames,Eetu Tuulola\tuuloee01,FI,RW,18,2016,,HPK Jr. (Finland-Jr.),,,,,,,,,,,,,
157,Winnipeg Jets,Mikhail Berdin\berdimi01,RU,G,18,2016,,Team Russia U18 (Russia-Jr.),,,,,,,,,,,,,
158,Arizona Coyotes,Patrick Kudla\kudlapa01,CA,D,20,2016,,Oakville (OJHL),,,,,,,,,,,,,
159,Buffalo Sabres,Brandon Hagel\hagelbr01,CA,LW,18,2016,2022,Red Deer (WHL),130,34,34,68,-25,42,,,,,,,6
160,Montreal Canadiens,Michael Pezzetta\pezzemi01,CA,C,18,2016,2022,Sudbury (OHL),51,5,6,11,-7,81,,,,,,,0.7
