Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
116,Calgary Flames,Lucas Feuk\feuklu01,SE,LW,18,2019,,Sodertalje Jr. (Sweden-Jr.),,,,,,,,,,,,,,
117,Nashville Predators,Semyon Chystyakov\chystse01,RU,D,18,2019,,UFA 2 (Russia-Jr.),,,,,,,,,,,,,,
118,New Jersey Devils,Case McCarthy\mccarca01,US,D,18,2019,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
119,Los Angeles Kings,Kim Nousianinen\nousiki01,FI,D,18,2019,,Kalpa Jr. (Finland-Jr.),,,,,,,,,,,,,,
120,Tampa Bay Lightning,Maxwell Crozier\crozima01,CA,D,19,2019,,Sioux Falls (USHL),,,,,,,,,,,,,,
121,Carolina Hurricanes,Tuukka Tieksola\tiekstu01,FI,RW,18,2019,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,,,
122,Vancouver Canucks,Ethan Keppen\keppeet01,CA,LW,18,2019,,Flint Firebirds (OHL),,,,,,,,,,,,,,
123,Chicago Blackhawks,Antti Saarela\saarean01,FI,C,18,2019,,Lukko (Finland),,,,,,,,,,,,,,
124,Toronto Maple Leafs,Nicholas Abruzzese\abruzni01,US,C,20,2019,2022,Chicago (USHL),9,1,0,1,-1,2,,,,,,,0,
125,Ottawa Senators,Mark Kastelic\kastema01,US,C,20,2019,2022,Calgary Hitmen (WHL),16,2,2,4,-1,14,,,,,,,0.3,
126,Montreal Canadiens,Jacob Leguerrier\legueja01,CA,D,18,2019,,Sault Ste. Marie Greyhounds (OHL),,,,,,,,,,,,,,
127,New Jersey Devils,Cole Brady\bradyco01,CA,G,18,2019,,Janesville (NAHL),,,,,,,,,,,,,,
128,Detroit Red Wings,Cooper Moore\mooreco01,US,D,18,2019,,Brunswick Prep. (HIGH-CT),,,,,,,,,,,,,,
129,New Jersey Devils,Arseny Gritsyuk\gritsar01,RU,RW,18,2019,,OMSK 2 (Russia-Jr.),,,,,,,,,,,,,,
130,New York Rangers,Leevi Aaltonen\aaltole01,FI,RW,18,2019,,Kalpa Jr. (Finland-Jr.),,,,,,,,,,,,,,
131,Montreal Canadiens,Rhett Pitlick\pitlirh01,US,LW,18,2019,,Chaska (High-MN),,,,,,,,,,,,,,
132,Anaheim Ducks,Trevor Janicke\janictr01,US,C,18,2019,,Central Illinois (USHL),,,,,,,,,,,,,,
133,Vancouver Canucks,Carson Focht\fochtca01,CA,C,19,2019,,Calgary Hitmen (WHL),,,,,,,,,,,,,,
134,Winnipeg Jets,Harrison Blaisdell\blaisha01,GB,C,18,2019,,Chilliwack (BCHL),,,,,,,,,,,,,,
135,Vegas Golden Knights,Isaiah Saville\savilis01,US,G,18,2019,,Tri-City (USHL),,,,,,,,,,,,,,
136,Florida Panthers,Henrik Rybinski\rybinhe01,CA,RW,18,2019,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,
137,Florida Panthers,Owen Lindmark\lindmow01,US,C,18,2019,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
138,Montreal Canadiens,Frederik Nissen Dichow\nissefr01,DK,G,18,2019,,Vojens (DENMARK-2),,,,,,,,,,,,,,
139,Vegas Golden Knights,Marcus Kallionkieli\kallima01,FI,LW,18,2019,,Sioux City (USHL),,,,,,,,,,,,,,
140,Colorado Avalanche,Sasha Mutala\mutalsa01,CA,RW,18,2019,,Tri-City Americans (WHL),,,,,,,,,,,,,,
141,Vegas Golden Knights,Mason Primeau\primema01,CA,C,18,2019,,North Bay Battalion (OHL),,,,,,,,,,,,,,
142,Dallas Stars,Nicholas Porco\porconi01,CA,LW,18,2019,,Saginaw Spirit (OHL),,,,,,,,,,,,,,
143,Buffalo Sabres,Filip Cederqvist\cederfi01,SE,LW,19,2019,,VAXJO (Sweden),,,,,,,,,,,,,,
144,Winnipeg Jets,Logan Neaton\neatolo01,US,G,20,2019,,Prince George (BCHL),,,,,,,,,,,,,,
145,Pittsburgh Penguins,Judd Caulfield\caulfju01,US,RW,18,2019,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
146,Toronto Maple Leafs,Michael Koster\kostemi01,US,D,18,2019,,Chaska (High-MN),,,,,,,,,,,,,,
147,New York Islanders,Reece Newkirk\newkire01,CA,C,18,2019,,Portland Winter Hawks (WHL),,,,,,,,,,,,,,
148,Nashville Predators,Ethan Haider\haideet01,US,G,18,2019,,MN Magicians (NAHL),,,,,,,,,,,,,,
149,Minnesota Wild,Matvey Guskov\guskoma01,RU,C,18,2019,,London Knights (OHL),,,,,,,,,,,,,,
150,Calgary Flames,Joshua Nodler\nodlejo01,US,C,18,2019,,Fargo (USHL),,,,,,,,,,,,,,
151,Arizona Coyotes,Aku Raty\ratyak01,FI,RW,18,2019,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,,,
152,Carolina Hurricanes,Kirill Slepets\slepeki01,RU,RW,20,2019,,Yaroslaval 2 (Russia-Jr.),,,,,,,,,,,,,,
153,Washington Capitals,Martin Has\hasma01,CZ,D,18,2019,,Tappara Jr. (Finland-Jr.),,,,,,,,,,,,,,
154,Boston Bruins,Roman Bychkov\bychkro01,RU,D,18,2019,,Yaroslaval 2 (Russia-Jr.),,,,,,,,,,,,,,
