Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
212,Carolina Hurricanes,Magnus Kahnberg,SE,LW,,2000,,Vastra Frolunda (Sweden),,,,,,,,,,,,,,
213,Buffalo Sabres,Vasily Bizyayev,RU,RW,,2000,,CSKA Moscow 2 (Russia),,,,,,,,,,,,,,
214,Minnesota Wild,Peter Bartos\bartope01,SK,LW,27,2000,2001,Ceske Budejovice (Czech-2),13,4,2,6,2,6,,,,,,,0.9,
215,Edmonton Oilers,Matthew Lombardi\lombama01,CA,C,18,2000,2013,Victoriaville (QMJHL),536,101,161,262,6,293,,,,,,,24.1,
216,Pittsburgh Penguins,Jim Abbott,US,LW,,2000,,New Hampshire (H-East),,,,,,,,,,,,,,
217,Phoenix Coyotes,Igor Samoilov,RU,D,,2000,,Torpedo Yaroslavl 2 (Russia-2),,,,,,,,,,,,,,
218,Los Angeles Kings,Craig Olynick,CA,D,,2000,,Seattle (WHL),,,,,,,,,,,,,,
219,Dallas Stars,Marco Tuokko,FI,C,,2000,,TPS Turku (Finland),,,,,,,,,,,,,,
220,Buffalo Sabres,Paul Gaustad\gaustpa01,US,C,18,2000,2016,Portland (WHL),727,89,142,231,10,778,,,,,,,16,
221,Colorado Avalanche,Aaron Molnar,CA,G,,2000,,London (OHL),,,,,,,,,,,,,,
222,Tampa Bay Lightning,Marek Priechodsky,SK,D,,2000,,Trnava (Slovakia-2),,,,,,,,,,,,,,
223,Toronto Maple Leafs,Lubos Velebny,SK,D,,2000,,Zvolen (Slovakia),,,,,,,,,,,,,,
224,Dallas Stars,Antti Miettinen\miettan01,FI,RW,20,2000,2013,HPK Hameenlinna (Finland),539,97,133,230,-24,234,,,,,,,21,
225,Chicago Blackhawks,Vladislav Luchkin,RU,C,,2000,,Cherepovets (KHL),,,,,,,,,,,,,,
226,Tampa Bay Lightning,Brian Eklund\eklunbr01,US,G,20,2000,2006,Brown (ECAC),1,0,0,0,0,0,1,0,1,0,0.842,3.09,0,
227,Philadelphia Flyers,Guillaume Lefebvre\lefebgu01,CA,LW,19,2000,2010,Rouyn Noranda (QMJHL),39,2,4,6,-2,13,,,,,,,0,
228,Detroit Red Wings,Jimmie Svensson,SE,C,,2000,,Vasteras (Sweden-2),,,,,,,,,,,,,,
229,St. Louis Blues,Brett Lutes,CA,LW,,2000,,Montreal (QMJHL),,,,,,,,,,,,,,
230,Atlanta Thrashers,Samu Isosalo,FI,RW,,2000,,North Bay (OHL),,,,,,,,,,,,,,
231,Columbus Blue Jackets,Peter Zingoni,US,C,,2000,,New England (EJHL),,,,,,,,,,,,,,
232,Minnesota Wild,Lubomir Sekeras\sekerlu01,SK,D,31,2000,2004,Trinec (Czech),213,18,53,71,-27,122,,,,,,,14.1,
233,Tampa Bay Lightning,Alexander Polukeyev,RU,G,,2000,,St. Petersburg (KHL),,,,,,,,,,,,,,
234,Florida Panthers,Janis Sprukts\sprukja01,LV,C,18,2000,2009,Lukko Rauma (Finland),14,1,2,3,1,2,,,,,,,0.3,
235,Carolina Hurricanes,Craig Kowalski,US,G,,2000,,Detroit Compuware (NAHL),,,,,,,,,,,,,,
236,Nashville Predators,Mats Christeen,SE,D,,2000,,Sodertalje (Sweden-2),,,,,,,,,,,,,,
237,Boston Bruins,Zdenek Kutlak\kutlazd01,CZ,D,20,2000,2004,Ceske Budejovice (Czech-2),16,1,2,3,-4,4,,,,,,,0.3,
238,New York Rangers,Danny Eberly,US,D,,2000,,RPI (ECAC),,,,,,,,,,,,,,
239,Calgary Flames,David Hajek,CZ,D,,2000,,Chomutov (Czech),,,,,,,,,,,,,,
240,Chicago Blackhawks,Adam Berkhoel\berkhad01,US,G,19,2000,2006,Twin Cities (USHL),9,0,0,0,0,0,9,2,4,1,0.882,3.8,1,
241,Vancouver Canucks,Nathan Barrett,CA,C,,2000,,Lethbridge (WHL),,,,,,,,,,,,,,
242,Atlanta Thrashers,Evan Nielsen,US,D,,2000,,Notre Dame (CCHA),,,,,,,,,,,,,,
243,Montreal Canadiens,Joni Puurula,FI,G,,2000,,Hermes (Finland-2),,,,,,,,,,,,,,
244,Atlanta Thrashers,Eric Bowen,US,RW,,2000,,Portland (WHL),,,,,,,,,,,,,,
245,Los Angeles Kings,Dan Welch,US,RW,,2000,,Minnesota (WCHA),,,,,,,,,,,,,,
246,San Jose Sharks,Chad Wiseman\wisemch01,CA,LW,19,2000,2006,Mississauga (OHL),9,1,1,2,-1,8,,,,,,,0.1,
247,Edmonton Oilers,Jason Platt,US,D,,2000,,Omaha (USHL),,,,,,,,,,,,,,
248,Pittsburgh Penguins,Steve Crampton,CA,RW,,2000,,Moose Jaw (WHL),,,,,,,,,,,,,,
249,Phoenix Coyotes,Sami Venalainen,FI,RW,,2000,,Tappara Tampere (Finland),,,,,,,,,,,,,,
250,Los Angeles Kings,Flavien Conne,CH,C,,2000,,Fribourg,,,,,,,,,,,,,,
251,Detroit Red Wings,Todd Jackson,US,RW,,2000,,U.S. Nationals,,,,,,,,,,,,,,
252,Colorado Avalanche,Darryl Bootland\bootlda01,CA,RW,18,2000,2008,St. Michael's (OJHL),32,1,2,3,-3,85,,,,,,,0,
253,Florida Panthers,Mathew Sommerfeld,CA,LW,,2000,,Swift Current (WHL),,,,,,,,,,,,,,
254,Toronto Maple Leafs,Alexander Shinkar,RU,RW,,2000,,Cherepovets (KHL),,,,,,,,,,,,,,
255,Minnesota Wild,Eric Johansson\johaner01,CA,C,18,2000,,Tri-City (WHL),,,,,,,,,,,,,,
256,San Jose Sharks,Pasi Saarinen,FI,D,,2000,,Ilves Tampere (Finland),,,,,,,,,,,,,,
257,New Jersey Devils,Warren McCutcheon,CA,C,,2000,,Lethbridge (WHL),,,,,,,,,,,,,,
258,Buffalo Sabres,Sean McMorrow\mcmorse01,CA,LW,18,2000,2003,Kitchener (OHL),1,0,0,0,0,0,,,,,,,0,
259,Philadelphia Flyers,Regan Kelly,CA,D,,2000,,Nipawin (OJHL),,,,,,,,,,,,,,
260,Detroit Red Wings,Yevgeny Bumagin,RU,C,,2000,,Lada Togliatti 2 (Russia-3),,,,,,,,,,,,,,
261,St. Louis Blues,Reinhard Divis\divisre01,AT,G,25,2000,2006,Leksand (Sweden),28,0,0,0,0,2,28,6,9,3,0.88,3.32,1.8,
262,Chicago Blackhawks,Peter Flache,CA,C,,2000,,Guelph (OHL),,,,,,,,,,,,,,
263,Tampa Bay Lightning,Thomas Ziegler\zieglth01,CH,RW,22,2000,2001,Ambri-Piotta (Swiss),5,0,0,0,-2,0,,,,,,,-0.1,
264,New York Islanders,Dmitri Altarev,RU,LW,,2000,,Dizelist Penza 2,,,,,,,,,,,,,,
265,Toronto Maple Leafs,Jean-Philippe Cote\coteje01,CA,D,18,2000,2014,Cape Breton (QMJHL),27,0,4,4,2,26,,,,,,,0.8,
266,Colorado Avalanche,Sean Kotary,US,C,,2000,,Northwood School (High-NY),,,,,,,,,,,,,,
267,New York Islanders,Tomi Pettinen\pettito01,FI,D,23,2000,2006,Ilves Tampere (Finland),24,0,0,0,-3,18,,,,,,,0.1,
268,Boston Bruins,Pavel Kolarik\kolarpa01,CZ,D,27,2000,2002,Slavia Praha (Czech-2),23,0,0,0,-2,10,,,,,,,0,
269,New York Rangers,Martin Richter,CZ,D,,2000,,SaiPa (Finland),,,,,,,,,,,,,,
270,Calgary Flames,Micki DuPont\duponmi01,CA,D,20,2000,2008,Kamloops (WHL),23,1,3,4,-7,12,,,,,,,0.4,
271,Chicago Blackhawks,Reto Von Arx\vonarre01,CH,C,24,2000,2001,Davos (Swiss),19,3,1,4,-4,4,,,,,,,0.2,
272,Vancouver Canucks,Tim Smith,CA,C,,2000,,Spokane (WHL),,,,,,,,,,,,,,
273,Pittsburgh Penguins,Roman Simicek\simicro01,CZ,C,28,2000,2002,HPK Hameenlinna (Finland),63,7,10,17,-8,59,,,,,,,1,
274,Edmonton Oilers,Yevgeny Muratov,RU,LW,,2000,,Nizhnekamsk (KHL),,,,,,,,,,,,,,
275,Montreal Canadiens,Jonathan Gauthier,CA,D,,2000,,Rouyn Noranda (QMJHL),,,,,,,,,,,,,,
276,Carolina Hurricanes,Troy Ferguson,CA,RW,,2000,,Michigan State (CCHA),,,,,,,,,,,,,,
277,Buffalo Sabres,Ryan Courtney,CA,LW,,2000,,Windsor (OHL),,,,,,,,,,,,,,
278,Columbus Blue Jackets,Martin Paroulek,CZ,RW,,2000,,Vsetin (Czech),,,,,,,,,,,,,,
279,Boston Bruins,Andreas Lindstrom,SE,RW,,2000,,Lulea (Sweden),,,,,,,,,,,,,,
280,Pittsburgh Penguins,Nick Boucher,CA,G,,2000,,Dartmouth (ECAC),,,,,,,,,,,,,,
281,Phoenix Coyotes,Peter Fabus,SK,C,,2000,,Dukla Trencin (Slovakia),,,,,,,,,,,,,,
282,Los Angeles Kings,Carl Grahn,FI,G,,2000,,KalPa Kuopio (Finland),,,,,,,,,,,,,,
283,Ottawa Senators,James Demone,CA,D,,2000,,Portland (WHL),,,,,,,,,,,,,,
284,Nashville Predators,Martin Hohener,CH,D,,2000,,Kloten (Swiss),,,,,,,,,,,,,,
285,Colorado Avalanche,Blake Ward,CA,G,,2000,,Tri-City (WHL),,,,,,,,,,,,,,
286,Columbus Blue Jackets,Andrej Nedorost\nedoran01,SK,LW,20,2000,2004,Essen (German-3),28,2,3,5,-9,12,,,,,,,0,
287,Philadelphia Flyers,Milan Kopecky,CZ,LW,,2000,,Slavia Praha (Czech-2),,,,,,,,,,,,,,
288,Atlanta Thrashers,Mark McRae,CA,D,,2000,,Cornell (ECAC),,,,,,,,,,,,,,
289,Washington Capitals,Bjorn Nord,SE,D,,2000,,Djurgarden (Sweden),,,,,,,,,,,,,,
290,Atlanta Thrashers,Simon Gamache\gamacsi01,CA,C,19,2000,2008,Val d'Or (QMJHL),48,6,7,13,-10,18,,,,,,,0.7,
291,Chicago Blackhawks,Arne Ramholt,CH,D,,2000,,Kloten (Swiss),,,,,,,,,,,,,,
292,Columbus Blue Jackets,Louis Mandeville,CA,D,,2000,,Rouyn Noranda (QMJHL),,,,,,,,,,,,,,
293,St. Louis Blues,Lauri Kinos,FI,D,,2000,,Montreal (QMJHL),,,,,,,,,,,,,,
