Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
185,Los Angeles Kings,Ryan Murphy,US,RW,,2002,,Boston College (H-East),,,,,,,,,,,,,
186,Phoenix Coyotes,Jeff Pietrasiak\pietrje01,US,G,19,2002,,Berkshire (High-MA),,,,,,,,,,,,,
187,New Jersey Devils,Eric Johansson\johaner01,CA,C,20,2002,,Tri-City (WHL),,,,,,,,,,,,,
188,Chicago Blackhawks,Kevin Kantee\kanteke01,US,D,18,2002,,Jokerit Helsinki Jr. (Finland-Jr.),,,,,,,,,,,,,
189,New York Islanders,Alexei Stonkus\stonkal01,RU,D,18,2002,,Elektrostal (Russia-2),,,,,,,,,,,,,
190,St. Louis Blues,D.J. King\kingdj01,CA,C,18,2002,2012,Lethbridge (WHL),118,4,7,11,-14,215,,,,,,,-0.1
191,Toronto Maple Leafs,Ian White\whiteia01,CA,D,18,2002,2013,Swift Current (WHL),503,45,134,179,46,254,,,,,,,35.2
192,Philadelphia Flyers,Nikita Korovkin\korovni01,RU,D,18,2002,,Kamloops (WHL),,,,,,,,,,,,,
193,Philadelphia Flyers,Joey Mormina\mormijo01,CA,D,20,2002,2008,Colgate (ECAC),1,0,0,0,0,0,,,,,,,0
194,New York Rangers,Kim Hirschovits\hirscki01,FI,C,20,2002,,HIFK Helsinki (Finland),,,,,,,,,,,,,
195,Colorado Avalanche,Taylor Christie\christa01,CA,D,19,2002,,Bowling Green (CCHA),,,,,,,,,,,,,
196,Florida Panthers,Mikael Vuorio\vuorimi01,FI,G,18,2002,,Lukko Rauma Jr. (Finland-Jr.),,,,,,,,,,,,,
197,Detroit Red Wings,Jimmy Cuddihy\cuddiji01,CA,C,18,2002,,Shawinigan (QMJHL),,,,,,,,,,,,,
198,Atlanta Thrashers,Nathan Oystrick\oystrna01,CA,D,19,2002,2011,South Surrey (BCHL),65,5,10,15,-2,61,,,,,,,2.4
199,Columbus Blue Jackets,Greg Mauldin\mauldgr01,US,C,20,2002,2011,Massachusetts (H-East),36,5,5,10,2,12,,,,,,,1.1
200,Florida Panthers,Denis Yachmenev\yachmde01,RU,LW,18,2002,,North Bay (OHL),,,,,,,,,,,,,
201,Philadelphia Flyers,Mathieu Brunelle\brunema02,CA,LW,19,2002,,Victoriaville (QMJHL),,,,,,,,,,,,,
